Mean data for USA Province= 5: California, from 1982 to 2022, yearly
for cropland area only
year, SMN,SMT,VCI,TCI, VHI

1982, 0.264,294.22, 52.07, 64.64, 58.35,
1983, 0.246,292.46, 45.48, 78.41, 61.95,
1984, 0.269,295.81, 55.86, 57.68, 56.77,
1985, 0.270,299.43, 50.00, 39.54, 44.77,
1986, 0.261,296.85, 47.39, 43.03, 45.21,
1987, 0.251,296.52, 42.61, 44.80, 43.71,
1988, 0.258,296.45, 47.22, 45.62, 46.42,
1989, 0.259,297.79, 48.81, 35.06, 41.93,
1990, 0.253,297.54, 44.43, 36.53, 40.48,
1991, 0.259,296.84, 51.31, 41.17, 46.24,
1992, 0.250,295.99, 46.59, 49.03, 47.81,
1993, 0.255,295.37, 52.02, 54.90, 53.46,
1994, 0.265,297.07, 48.08, 53.40, 50.74,
1995, 0.266,297.60, 52.14, 41.70, 46.92,
1996, 0.256,297.47, 44.26, 37.29, 40.78,
1997, 0.266,297.06, 51.10, 41.90, 46.50,
1998, 0.265,293.55, 58.37, 70.29, 64.33,
1999, 0.253,295.40, 47.49, 55.81, 51.65,
2000, 0.236,295.14, 34.95, 57.69, 46.32,
2001, 0.257,296.93, 47.58, 41.14, 44.36,
2002, 0.257,297.77, 45.93, 35.23, 40.58,
2003, 0.264,296.26, 50.46, 45.86, 48.16,
2004, 0.256,295.22, 50.92, 53.86, 52.39,
2005, 0.282,295.98, 65.38, 50.15, 57.77,
2006, 0.263,296.87, 53.20, 41.78, 47.49,
2007, 0.259,298.42, 48.66, 31.19, 39.93,
2008, 0.259,298.44, 49.13, 28.96, 39.04,
2009, 0.265,298.05, 53.09, 33.04, 43.07,
2010, 0.267,296.03, 56.95, 50.03, 53.49,
2011, 0.267,296.88, 53.80, 42.73, 48.27,
2012, 0.258,298.60, 46.42, 28.60, 37.51,
2013, 0.252,298.18, 42.55, 33.82, 38.17,
2014, 0.245,299.21, 39.34, 25.76, 32.55,
2015, 0.253,298.24, 42.64, 33.80, 38.22,
2016, 0.249,297.16, 41.95, 41.01, 41.49,
2017, 0.252,296.90, 44.55, 42.59, 43.58,
2018, 0.249,297.68, 42.35, 36.23, 39.30,
2019, 0.254,295.80, 46.68, 50.86, 48.79,
2020, 0.256,298.40, 46.98, 31.07, 39.03,
2021, 0.245,298.71, 38.80, 27.18, 33.00,
